;company;content;label
11685;taskrabbit;"i feel cheated by an unfair universe that these chores even exist, much less that i'm expected to do them, and so i turn to taskrabbit, an app that pairs you up with a tasker willing to carry out almost any job. you can call on them to clean, to queue, to build furniture, to carry out diy jobs, transcription, personal assistance or gardening. pretty much any task you can think of, as long as you don't ask them to form a human pyramid or hurl themselves off a bridge. my chore isn't so tricky. at the top of my staircase lives a collection of boxes of crap. one is filled with cables that i never use but would definitely need if i chucked them in the bin. another contains two copies of barton fink on dvd and a shoe horn. a third box contains myriad smaller boxes, each one containing yet more boxes. presumably this continues all the way down to the atomic level, where i've stored individual electrons in little proton-sized chests.

 from the chore-offloading services of taskrabbit and handy to the courier apps of deliveroo and jinn, we exist in a golden age of push-button laziness. but just how useful are these things? and is it possible to get through an entire day without lifting more than a solitary index finger, relying solely on apps to wash, clean, transport, deliver, feed and entertain me? bravely, i slump on to the couch. i'm going to find out.

 3pm - taskrabbit i'm making a decent sized divot in the sofa now, my limp body sinking further and further into the cushions as the afternoon progresses. but there are things that need doing. heavy things in boxes that need to be in places where they currently aren't. stuff needs picking up and moving about. chores need choring.

 arriving in just under an hour, adam and juan from taskrabbit dragged the whole lot up into the attic piece by piece, even lugging a ladder from the basement up three flights of stairs to gain access to the aerial junkyard that is our loft space. they're good guys, adam and juan, and i briefly consider paying them to be my friends for the rest of the day. but they've got places to be, and i've got a sofa to keep warm.";X
13971;lanzatech;"sir richard announced this week that virgin atlantic was planning to use fuel converted from waste gases from steel mills to power virgin atlantic planes flown from delhi and shanghai to london. a spokeswoman for virgin australia confirmed it would also look at the process, from new zealand company lanzatech, as part of its strategy of replacing traditional jet fuel with more environmentally acceptable biofuels.

 lanzatech has a pilot project at a bluescope steel facility in new zealand that is producing almost 70,000 litres of ethanol a year.";X
14172;mdxhealth;irvine, ca, and herstal, belgium - 16:00 cest, may 12, 2017 - mdxhealth sa (euronext: mdxh.br) today announced that results from a retrospective study demonstrated that its confirmmdx® for prostate cancer test improved the identification of african american men at risk for aggressive cancer missed by a prostate biopsy. the study findings were presented in a podium session at the 2017 american urological association (aua) annual meeting in boston, massachusetts in the us.;X
14633;jaspersoft;"jaspersoft, with its commercial open source business model and embedded business intelligence portfolio, enables application developers to integrate interactive reports, dashboards and analytics into their applications.

 29 april 2014 - us infrastructure software developer tibco software inc (nasdaq:tibx) said it had taken over local business intelligence (bi) and reporting software provider jaspersoft corp for some usd185m (eur133m).

 the transaction speeds up tibco's strategy to further grow its go-to-market model with more pricing, packaging and deployment options by complementing its subscription pricing approach, as well as its open source portfolio, coo murray rode said in a statement. also, jaspersoft's utility cloud service adds to tibco's current software-as-a-service (saas) bi offering, cto matt quinn added.";X
14795;tracxn;"  in india, paytm made big news worldwide in the year 2015 when china's alibaba opened its wallet to invest over half a billion dollars in it. however, beyond paytm and ever since, the fintechs in india have seen a funding slowdown. as per tracxn, the first half of 2016 saw usd 179 million of funding across 46 new start-ups, which is only 20% of what the area received in the previous half year.  to be successful, there must be constant learning. india has lot to learn from global success (and failure) stories in order to consolidate its position in the global fintech club. fintechs thrive on a tripod with three supporting legs: policy & regulatory support, trust and access-to-data. for example, a fintech can take customers' money only if regulated; customers would entrust their money and personal information only if they trust the fintech, and only access to customer data and information can provide the competitive edge to a fintech.  three key essential lessons india can learn from the global experience around fintech are as follows:  policy & regulation: india must study and adopt the best of regulatory initiatives from the global markets. the securities and future commission of hong kong has set up a fintech advisory group to monitor the risks and regulatory implications of developments in fintech. the us has been consistently easing regulatory barriers to investments, of course with sufficient caution. start-ups in new york are offered 100% tax benefit for the first 10 years. the uk is also providing the strongest regulatory support to its fintech sector through taxation, disclosure mandates, consumer protection regulations and risk management. tax incentives in the uk for fintech are being doubled from 50% to 100% from april 2017.     trust: capgemini's report on fintech's tipping point suggests that consumers, while showcasing more trust in established banks, are more likely to use fintech products once tried. hence, if fintechs can get a platform to clearly demonstrate that they are making things simpler, transparent, easy to use, and cheaper with improved customer experience, they have a good chance of winning the trust of customers. fintechs must move towards simplicity and eliminate confusion. stripe, an irish mobile payment platform valued at usd 5 billion changed its name from ""/dev/payments"" to ""stripe"" and demonstrated how the simplicity of brand name can win trust of customers. london-based transferwise built reliability by beating the opaque transaction and exchange rate pricing of traditional banks with their transparent fees of being ten times cheaper than traditional bank rates.     access-to-data: with advances in machine learning and iot, fintechs are all abuzz with the benefits of big data. in fact, the new wave in information theory and management for the fintech industry is called smart data, i.e., instead of mining infinite irrelevant data sets, smart data focuses on key valuable pieces of information that institutions need. we are seeing a rise in marketplace banks, i.e., traditional banks who have started exposing their apis to third parties for large-scale payments transformation. for e. g. national australian bank opened up its api to cloud accounting firm, xero. as part of the australian government plans to introduce regulations to facilitate the growth of fintechs, productivity commission enquiry has been appointed for enhancing data aggregation, sharing & usage, and regulating open data api.  india needs to also leverage the success stories of other expanding hubs worldwide around the following three key areas - the right ecosystem, collaboration and talent.  ecosystem: there is a need for governments to develop a dynamic digital infrastructure which is adaptable and supportive of the fintech ecosystem. the uk has established itself as one of the most attractive locations in fintech with high digital connectivity. virtual currencies, such as bitcoins have been promoted with tax holidays, while many other countries banned their usage. they have aggressive programs in the uk to address entry barriers by launching research initiatives funding for crypto currency and distributed ledger technology. hong kong invest hkincubator program guarantees loans and marketing grants for smes in the country. australia has announced a formal set of fintech priorities like immediate cash-flow benefits and tax savings. the australian government is also planning to roll-out the national broadband network, to expand its digital infrastructure.  india should work towards higher penetration of mobile, internet and iot infrastructure so that communication and connection is smooth across all channels. the government must provide more incubation support to fintechs. there should be policies helping fintech firms to test and refine their products via robust poc projects with indian financial institutions. similar to shoreditch in london, india should convert unused public/private spaces into incubation centers, thereby creating an environment for start-up community. india should relook and revamp the existing traditional banking models in india and propagate initiatives, such as e-kyc, aadhaar-linked payments, account switching and digital passports.  collaboration: over the past year, there has been a shift as banks have moved from seeing fintech companies as disruptors to co-creators. banks are increasingly collaborating with fintechs to embed new services and technologies that improve customer experience and drive efficiency. international banks, such as citi and global consultants, such as kpmg have set up innovation labs, driving tech innovation in financial services. singaporean bank, dbs, has allocated a sgd 10 million investment into the development of the singapore start-up ecosystem. a uk-israel tech hub has been set-up to share leading technology practices. a lot of international events are regularly hosted in the israel region. the uk and singapore entered into a deal to share and use information on financial services innovation by the uk's fca and singapore's mas.  india should organize international events and invite leaders of start-up companies. this can lead to promotion of the digital capabilities of india, thereby attracting investments. many of the us and uk successful start-ups are expanding geographically. india needs to aid them with an effective policy so that these start-ups can build infrastructure in the country.  talent: universities and public institutions must begin nurturing an entrepreneurial mindset with focus on growing skills and entrepreneurial temperament, leading to an accelerated growth in fintech innovation. hong kong is promoting courses dedicated to entrepreneurship. for 2016-17, hong kong has provisioned for 300 university students to gain overseas exposure in the fintech sector through their cyberport hub. accelerators and incubators are gaining traction in the hong kong region. singapore launched skillsfuture, a national program to up-skill singaporeans on various skills. talent retention is as important as hiring and training to begin with. australia, in their federal budget, announced tax concessions under employee share schemes to help early-stage start-ups retain right talent.  india should build a strong technological and entrepreneurial talent pool by engaging its universities and institutions. academic bodies should be encouraged to act as catalysts towards building an innovative mindset of technological advancement and proto-typing from the very beginning.  the relationship between indian banks and fintech start-ups must strengthen in 2017 and gain momentum by leveraging each other's strengths. a win-win situation needs to be created where both the bank and the fintech start-up stand a chance to prosper together.  before asking what fintech can do for india, let us ask what india can do for fintech!";X
16049;tercica;"shares of tercica rose 98 cents, or 18.1 percent, to $6.40 in after-hours trading after falling 21 cents, or 3.7 percent, to close at $5.42. shares of genentech rose 76 cents, or 1 percent, to $75.61 in after-hours trading after falling 91 cents to close at $74.85.

 genentech is buying 708,591 shares of tercica stock for about $4 million as part of deal. in all, the company said it could receive up to $53 million in equity, opt-in, and milestone payments as well as research and development reimbursements.

 biotechnology company tercica inc. said tuesday it is collaborating with genentech inc. and could receive up to $53 million in payments as part of the partnership.

 both drugs were originally designed so they could be used as a combination treatment in a single, daily injection. tercica said it plans to start a phase ii clinical trial in 2008, pending food and drug administration clearance.

 the companies are working to develop treatments for short stature, adult growth hormone deficiency and other metabolic disorders. the program will involve combining genentech's human growth hormone nutropin aq and tercica's increlex, a recombinant insulin-like growth factor.";P
16908;automattic;tiger was the most active, having done 13 of its 24 venture deals this year since late april, joining big rounds for flipkart online services, pure storage and automattic, according to data from thomson reuters, the publisher of vcj , and other news sources. seven of the companies it invested in since late april were u.s.-based, including thumbtack, pure, automattic and invisionapp. five of the companies were from india, including flipkart, ani technologies and freshdesk.;X
17725;hautelook;" nordstrom rack wasn't always the company's biggest bet. the store began in 1973 as basement-level clearance center in nordstrom's downtown seattle location. as off-price and discount stores became more appealing to consumers in the wake of the 2008 recession, so too did nordstrom rack's appeal. by 2016, rack stores were outpacing full-line stores in terms of growth, and reporting sales increases, while full-line sales slumped. and while growth at rack stores has slowed somewhat, the company's decision to avoid mall locations and instead focus on street-level shops has allowed it to side-step at least one of the thornier problems facing similar large-scale retailers.  the seattle-based retailer is hardly alone in betting on off-price. neiman marcus and saks fifth avenue both have a robust store base in the category and macy's, late to this game, is quickly expanding its new backstage concept with plans for 40 by the end of 2017.  ""our customer loves value and on-trend merchandise. so rack is the number one new acquisition point for customers.""  karen mckibbin  executive vice president, nordstrom rack  in addition to its rack and full-line nordstrom stores, the company operates two jeffrey boutiques, with top-line luxury offerings; two last chance clearance stores, which serve as repositories for whatever doesn't sell through the rack stores; nordstrom.com; nordstromrack.com; online sale site hautelook, which it bought in 2011; and trunk club, a personalized clothing service that operates online and via seven ""clubhouses."" according to mckibbin, all of the company's arms are meant to feed into each other. ""our customer loves value and on-trend merchandise,"" she said. ""so rack is the number one new acquisition point for customers. but we also migrate customers to other channels. customers are shopping high and low.""  rack customers can expect to find the same brands, more or less, that they'd see in a full-line nordstrom - rack proudly and pointedly offers 48 of the 50 brands available at nordstrom's full-line stores. and while no one at the event was able to say exactly which two brands were not available, mckibbin smiled and said, ""i'm sure we're working on them.""  but there's clever bit of wordplay involved in the branding language. just because the brand names match doesn't mean the merchandise is the same. in fact, some off-brand stores such as sak's off 5th report that as little as 10% of its in-store merchandise actually came from saks full-line stores. nordstrom rack does slightly better, confirming to racked that 20% of its product comes from full-line stores. the other 80% is purchased expressly for rack stores.  yet for many customers, that's a technicality that doesn't matter. the store offers impressive designer names, from derek lam and alexander wang to cosmetics from bliss and, most recently, m.a.c., which just a few months ago inked a deal to sell its brand at discounted prices through rack stores. prices range from under $10 for sample-sized cosmetics arranged in sephora-style displays to well over $500 for luxury handbags and high-end designer dresses. two neon ""clear the rack"" signs, hung in street-facing windows, flash when even deeper discounts are available, as a sort of high-end version of kmart's bluelight specials. the store offers free wi-fi and even has on-site tailoring and alterations department to provide fitting services free-of-charge. there are also snacks and soda available for purchase in the checkout line, which blurs the distinction between luxury discount store and basement off-price outlet.  and the formula is working, at least so far. mckibbin said that the company would be opening its first nordstrom rack stores in canada in 2018, in toronto, calgary, ottawa and edmonton. and as far as competitors are concerned? ""we see every store who sells thing as our competitor,"" she says. except, of course, for its full-line stores - the company plans to open a men's store in manhattan in 2018, followed by a flagship women's store in 2019.  expanding at a time when many retailers are looking to contract may be a risky maneuver, but it's clear that the company is betting its combination of retail will find just the right fit with consumers.";X
18208;veracyte;south san francisco: veracyte, inc. has issued the following stock quote:  8.09 -0.02  (-0.247%)   4:00 pm et on apr 20, 2017                    previous close 8.11          open    8.15          volume    91,668          exchange    nasdaq day high    8.16          day low    8.00          52-week high    9.71 52-week low    4.81;Q
18469;upperhand;gradually, penryn got the upperhand and began to dictate play. fly-half jake seviour kicked a penalty after 15 minutes, following good work from the borough's props kirky oldfield and matt williams set up the opportunity.;P
19923;ownenergy;"ownenergy  which was bought out last august by edp renewable energy of san diego, calif.  had proposed a 47-tower project but about a year ago switched that to 40 turbines with higher outputs. company officials have said the maximum blade height would be around 498 feet; in comparison, the 1.65-megawatt turbines used at the nearby 195-tower maple ridge wind farm have a maximum height of around 400 feet.

 the copenhagen wind farm, being developed by ownenergy inc., brooklyn, with local partner jerry b. wichelns, would feature 40, 2-megawatt turbines and an overhead power line running through the towns of champion and rutland.";X
20187;petnet;"the fda approved only three first-time generics in february 2011.  these were hi-tech pharmacal's gabapentin oral solution, a generic equivalent of parke davies' (pfizer) neurontin oral solution; petnet solutions' fludeoxyglucose f 18 injection, a generic equivalent of feinstein's same-named product; and mylan's pioglitazone hydrochloride and metformin hydrochloride, a generic equivalent of takeda global's actoplus met tablets.  the month saw two other gabapentin approvals; matrix laboratories' anda for capsules, and zydus pharmaceuticals usa's for tablets.  a number of products saw two different anda approvals against them.  zydus pharmaceuticals usa and sun pharma global both gained galantamine approvals; dr reddy's laboratories and glenmark generics both gained levocetirizine approvals; and indicus pharma and sun pharmaceutical industries both gained naratriptan approvals.

 90-178 galantamine hydrobromide, eq 8 sun pharma global  ortho-mcneil        mg (base), 16 mg (base) and 24                    janssen        mg (base) extended-release        capsules 90-347 risperidone, 1 mg / ml oral    taro               ortho-mcneil        solution                       pharmaceutical     janssen                                       industries 90-797 pantoprazole sodium, eq 20 mg  actavis totowa     wyeth        (base) and 40 mg (base)                           pharmaceuticals        delayed-release tablets 90-575 promethazine hydrochloride and amneal             actavis mid        dextromethorphan hydrobromide, pharmaceuticals    atlantic        15 mg / 5 ml and 6.25 mg / 5        ml oral syrup 77-154 fentanyl, 25 mcg / hr, 50 mcg  mallinckrodt       ortho-mcneil        / hr, 75 mcg / hr and 100 mcg                     janssen        / hr extended-release        transdermal film 76-826 levofloxacin, 0.5% ophthalmic  hi-tech pharmacal  santen        solution / drops 79-198 octreotide acetate             bioniche pharma    novartis        (preservative-free), eq 0.05   usa        mg (base) / ml, 0.1 mg (base)        / ml and 0.5 mg (base) / ml        injection 78-926 gabapentin, 600 mg and 800 mg  zydus              pfizer        tablets                        pharmaceuticals                                       usa 77-959 mirtazapine, 15 mg, 30 mg and  actavis elizabeth  organon usa        45 mg orally disintegrating        tablets 90-158 gabapentin, 100 mg, 300 mg and matrix             pfizer        400 mg capsules                laboratories 90-843 levetiracetam, 250 mg, 500 mg, accord healthcare  ucb        750 mg and 1 gm tablets 91-416 naproxen, 250 mg, 375 mg and   marksans pharma    roche palo        500 mg tablets 91-552 naratriptan, eq 2.5 mg (base)  sun pharmaceutical glaxosmithkline        tablets                        industries 91-616 lithium carbonate, 450 mg      glenmark generics  roxane        extended-release tablets                          laboratories 91-443 oxymorphone hydrochloride, 5   teva               endo        mg and 10 mg tablets           pharmaceutical     pharmaceuticals                                       industries 78-898 galantamine hydrobromide, eq 4 zydus              ortho-mcneil        mg (base), 8 mg (base) and 12  pharmaceuticals    janssen        mg (base) tablets              usa 200-06 doxycycline, eq 150 mg (base)  impax laboratories par pharmaceutical 5      capsules                                          companies 78-974 gabapentin, 250 mg / 5 ml oral hi-tech pharmacal  parke davis        solution 91-313 oxycodone hydrochloride, 5 mg, coastal            xanodyne        15 mg and 30 mg tablets        pharmaceuticals    pharmaceuticals 201-45 meclizine hydrochloride, 12.5  amneal             pfizer 1      mg, 25 mg and 50 mg tablets    pharmaceuticals 78-602 ondansetron, 4 mg and 8 mg     ranbaxy            glaxosmithkline        orally disintegrating tablets  laboratories 90-385 levocetirizine hydrochloride,  glenmark generics  ucb        5 mg tablets 90-392 levocetirizine hydrochloride,  dr reddy's         ucb        5 mg tablets                   laboratories 76-675 desogrestrel and               vintage            ortho-mcneil        ethinyloestradiol (brand name  pharmaceuticals    janssen        emoquette), 0.15 mg / 0.03 mg        tablets, 28-day regimen 79-080 divalproex sodium, eq 500 mg   watson             abbott        (base) valproic acid           laboratories        delayed-release tablets        florida 79-086 fludeoxyglucose f18, 20 ? 200  petnet solutions   feinstein        mci / ml intravenous injection 90-406 pioglitazone hydrochloride and mylan              takeda global        metformin hydrochloride, 500        mg (eq 15 mg base), 850 mg (eq        15 mg base) tablets 78-048 cyclobenzaprine hydrochloride, kvk-tech           mcneil pediatrics        5 mg and 10 mg tablets 90-937 glyburide, 1.25 mg, 2.5 mg and indicus pharma     teva        5 mg tablets                                      pharmaceutical                                                          industries 91-044 imiquimod, 5% topical cream    tolmar             graceway 200-22 lamotrigine, 5 mg and 25 mg    jubilant life      glaxosmithkline 0      chewable tablets 200-50 naratriptan hydrochloride, eq  indicus pharma     glaxosmithkline 2      1.5 mg (base) and 2.5 mg        (base) tablets";Q
20395;jumptap;"dan olschwang, chief executive of us-based jumptap, which provides white-label search and advertising solutions to operators including telefonica and at&t, believes that operators are missing out on a potentially huge market if they let google be their only handset search engine. ""there are two options: make a significant push into advertising or roll over and surrender,"" says olschwang.";X
20621;thewrap; james spader is taking early retirement from the office. the former boston legal star is leaving the nbc sit-com after he completes the current eighth season of the series, which was his first with the show, the network confirms to thewrap.;X
20667;thewrap;the fright night and buffy the vampire slayer writer's presence on the project has brought it a new energy, an individual close to the movie told thewrap.;X
20697;thewrap;after exploring the entrepreneurial life on her short-lived lifetime reality show roseanne's nuts - which featured the comedienne running a macadamia-nut farm in hawaii with her son and boyfriend - barr has landed a new sitcom, downwardly mobile, at nbc, an individual with knowledge of the project confirmed to thewrap.;X
21655;accreon;le collà¨ge communautaire du nouveau-brunswick recevra 845 888 $ sur cinq ans dans le cadre du programme d'innovation dans les collà¨ges et la communauté (programme d'icc). william mciver, qui sera le titulaire de la chaire de recherche industrielle dans les collà¨ges en technologie mobile du conseil de recherches en sciences naturelles et en génie du canada (crsng), s'emploiera à élargir la gamme d'opérations que les usagers peuvent effectuer avec leurs appareils portatifs : faire des achats, jouer à  des jeux, payer des factures et mener des recherches sur des cartes géographiques. la chaire reà§oit aussi l'appui des partenaires suivants : spielo, technology venture corporation, stellar learning strategies et accreon.;Q
21958;obopay;"obopay launched last year and is vc backed.  it has the problem of trying to distinguish itself from the paypal p2p service which launched slightly before and has got the strong customer base to market to of the traditional paypal service and ebay users - ebay own paypal.

 citibank is to trial the obopay real-time mobile person to person payment system later this year.  the service will be offered to citibank card holders within the test areas.  the test will be jointly branded as citi-obopay.

 citibank say: ""(the) service will allow pilot participants to easily and securely send and receive money instantly via any mobile phone. participants will be able to remotely track and manage their mobile payment accounts by checking balances, viewing payment histories, and adding funds directly from their mobile phone. funds received via the citi-obopay mobile person-to-person service can also be accessed with a debit card provided with the service. """;X
22741;marklogic;" koto, tokyo: ntt data corporation has issued the following press release:   ntt data, a global it-services provider, today announced a strategic capital investment in leading enterprise nosql database provider, marklogic corporation. in addition to the new funding, the companies will also be expanding their existing strategic business alliance to develop new go-to-market strategies with specific emphasis on joint customer development in europe, north america, south america and japan. the strategic business alliance will help both companies capture significant market share in the global database market.

  since becoming partners in 2012, ntt data and marklogic have worked together to aggressively target companies in japan dealing with large-scale data integration challenges due to the rise of big data and disparate data systems within their organizations. after years of joint customer successes and value creation using ntt data's data utilization services combined with marklogic's nosql database platform, the two companies are now experiencing growing market opportunity abroad for their joint solutions in key vertical segments including financial services, healthcare, government/public sector, and manufacturing. ""we are honored to strengthen our alliances with ntt data, and welcome them as both a new investor and growing partner in our mission to lead the next generation of database technology for the modern enterprise,"" said gary bloom, ceo of marklogic. ""both marklogic's and ntt data's customers demand an enterprise hardened database that is both agile and secure, flexible and powerful, works on any private or public cloud platform as well as on-premise, and can provide the most accurate data needed to fuel mission critical applications. by working to integrate our industry leading nosql database with ntt data's deep expertise in it services, we have created an alliance that will help companies all around the world to derive more value and insights from their data than ever before."" marklogic's database platform solves a critical challenge for today's leading-edge organizations by helping them break down data silos that can emerge within their organizations. by using a non-relational, nosql database technology like marklogic®, organizations can gain a 360 degree view of their data by reducing data silos through the use of a more agile and flexible database that is designed for change, scale, heterogeneous data, and for running mission-critical applications. as a global innovator in it services and solutions, ntt data has provided critical expertise around the digital transformation of internal and external data to help organizations maximize their investments and roi from marklogic's nosql databases. the joint go-to-market strategy is designed to help companies better understand the generational shift taking place across the database industry, and how it can be used as a competitive advantage against companies still relying on conventional, more rigid database technologies. ""ntt data is excited to expand our strategic relationship with marklogic. we look forward to extending the success we have jointly experienced over the last five years in japan to the rest of the world,"" said toshio iwamoto, president and ceo of ntt data. ""our ability to solve complex data integration problems by using marklogic's database platform along-side intellectual capital developed by ntt data allows our clients to better analyze critical insights from their data in order to gain a competitive advantage in their respective marketplaces."" ntt data and marklogic offer organizations the opportunity to manage, secure, integrate and analyze their data using marklogic 9. now in production, marklogic 9 builds on a strong base of advanced features such as bitemporal, semantics and cloud support by adding new enterprise-grade features to make data integration faster and easier, data security stronger and more granular, and database management more efficient. the terms of the strategic investment in marklogic, which closed on may 31, 2017, were not disclosed at this time.    about ntt data    ntt data (tokyo: 9613) is a leading it services provider and global innovation partner headquartered in tokyo, with business operations in over 50 countries. its emphasis is on long-term commitments, combining global reach with local intimacy to provide premier professional services varying from consulting and systems development to outsourcing.    about marklogic corporation    for over a decade, organizations around the world have come to rely on marklogic to power their innovative information applications. as the world's experts at integrating data from silos, marklogic's operational and transactional enterprise nosql database platform empowers our customers to build next generation applications on a unified, 360-degree view of their data. headquartered in silicon valley, marklogic has offices throughout the u.s., europe, asia and australia.";X
22953;trusteer;aqua also announced today that shlomo kramer, who invested in aquas seed round, will join the companys board of directors. mr. kramer is a prolific cybersecurity entrepreneur and investor, who co-founded check point software (chkp), imperva (impv), and cato networks, and invested in trusteer (acquired by ibm), and palo alto networks (panw), among others.;X
23061;videology; portland: comscore, inc has issued the following press release: comscore today announced the launch of activation, a new product suite that helps advertisers, agencies and media companies efficiently reach the right audiences at the right time while ensuring ad delivery in relevant and brand safe content. with activation, clients use the same trusted data from comscore's planning and measurement products to create scalable audience segments, which are easily deployed in client-owned or third-party advertising platforms. comscore activation is currently available in more than 15 leading ad tech platforms, including adobe, appnexus, centro, salesforce, tru optik and videology.;X
24532;innocentive;media type:         print source:             icis chem bsns date published:     2016-09-04 country:            united states language:           english regional company:   innocentive, id: 257317 regional brand:     innocentive, id: 1070809 regional product:   online healthcare, id: 1167285 color:              4 category:           health > medical supplies, devices & equipment, id: 10996 regional category:  analysis instruments, id: 79659;Q
27276;duckduckgo;"""companies like facebook , pinterest and amazon have been investing in their own search services and search engines like quixey, duckduckgo and qwant have attracted new funding. we're seeing innovation in voice search and the rise of search assistants - with even more to come.

 ""people can use bing, yahoo , quora, duckduckgo, and a new wave of search assistants like apple's siri and microsoft's cortana, as well as more specialised services like amazon, idealo, le guide, expedia , or ebay .";X
27976;taggle;she arrives first, a doll-like zany in  colourful raggle-taggle layers. when he appears, there's a hint of chaplin in the chalk-stripe trousers, braces, little hat. side by side, they're the stuff of oddball humour.;X
28014;duolingo;"  google is partnering with bug bounty service hackerone for the project, which it calls the google play security reward program. the worldwide program currently only applies to eight popular apps such as duolingo, snapchat, tinder, headspace and alibaba, although google's own suite of apps for android qualify as well.  apps currently only qualify for inclusion in the program if their developers get an invitation from google, but in time the mountain view, california company plans to roll out the service on an opt-in basis.  bug out  nor do all bugs qualify. at the moment, google is only interested in finding flaws that enable remote code executions (rces) on android 4.4 and above. in essence, that means it's looking for bugs that allow web pages to open in an app for the purpose of phishing, or flaws that allowed the download of malicious code and the possible infection of an android device with a virus.  it's a not-so-subtle way of forcing android app developers to get their acts together. you're not even supposed to contact google if you find a bug; instead, you contact the developer of the app through a form provided by hackerone, and then the developer contacts google once it's released a patch for the bug. only then will you see any cash.  google already offers similar bounties for chromebooks and android proper, but this marks the first time that it's extended the service to developers who use its popular operating system.";X
28639;cerecor;"janssen pharmaceuticals inc. acquired cerecor inc.'s cerc501 for $25mm up front ($3.75mm was put in a 12-month escrow to secure future indemnification obligations). (aug.)

 cerecor is also eligible for $20mm in milestones tied to the fda filing and approval. janssen will take over clinical development activities and commercialize the drug. cerc501 is a phase ii oral kappa opioid receptor antagonist for major depressive disorder and substance abuse (nicotine, alcohol, and cocaine). the compound was originated at eli lilly. cerecor received exclusive global rights under an early 2015 agreement. cerecor divested the asset to focus on its other cns programs--phase ii cerc301 for depression, preclinical cerc611 for epilepsy, and preclinical cerc406 for depression.";X
