;company;paragraphs;label
3651;makerbot;defense distributed has described itself as a group that defends 'the civil liberty of popular access to arms' in the us. in the wake of the sandy hook school shootings, in which 20 children and six teachers died, 3d company makerbot removed its gun blueprints from a design sharing website.;
4690;virtustream;   in may 2015, mobily became part of the  vmware vcloud air network as an enterprise level service provider. under the terms of the partnership, mobily will offer comprehensive vmware solutions and services to customers moving to cloud computing. earlier in may 2015 mobily announced, that in collaboration with  virtustream, it would begin offering mobily business cloud services. the service includes public and hybrid cloud models and enables enterprises to run complex, mission-critical legacy applications such as sap, oracle and microsoft. mobily business cloud services will reduce the total cost of ownership of enterprise it solutions, while enhancing the agility and service levels. through the service the companies will target customers across all segments and industry verticals.;
4828;okta;"with government agencies deploying new mobile applications and portals for government employees and citizens, identity has become a major security priority for government it departments as they modernize their infrastructure. by using a solution such as the okta identity cloud, organizations can connect and protect employees, partners, suppliers and constituents. with deep integrations to over 5,000 apps, the okta identity cloud enables simple and secure access from any device, empowering users to work faster, stay secure and do significant work using whichever services and apps they need.

  ""our partnership with carahsoft and its ecosystem of reseller partners will expand the public sector's access to leading identity management solutions, while giving government agencies the flexibility to choose best-of-breed cloud services without sacrificing security,"" said bill fitzgerald, vice president of channel sales at okta. ""we look forward to leveraging carahsoft's government expertise to expand our reach within the federal, state, local, and education markets.""

 ""with users now able to access government apps and portals from any device at any time, we needed a strategic partner in identity and security,"" said michael shrader, vice president of emerging solutions at carahsoft. ""the okta identity cloud complements existing saas platforms and mobile apps, making it easy and cost-effective for agencies to embrace new technology trends at a large scale while eliminating additional security risks. we are excited to add them to our portfolio and make them available to our customers and reseller partners.""";
5493;okcupid;match, which also owns dating sites okcupid and plentyoffish, recorded revenue in excess of three quarters of a billion dollars for the first nine months of 2015.;
5568;okcupid;in march, a 65-year-old new york man sued the okcupid after he was swindled out of $70,000 by a man he met on the site.;
5951;cloudflare;"      ·    bug in security firm's software led to leaked passwords and private           messages      ·    hundreds of thousands of sites have been affected by the leak      ·    cloudflare said that the bug has now been fixed and all exposed data           secured      ·    there is no sign yet that the leak had been exploited by hackers

 in a blog post, cloudflare said that the bug leaked website password, cookies and authentification tokens, posted in plain text online.

 he said that google and cloudflare had been working together to remove any sensitive data from the store of webpages that search engines like google collect when they index the web.

 jonathan sublett of internet security company shield maiden said in a blog post that anyone who accessed sites that used cloudflare 'should consider their data public and work towards securing their accounts'.

 cloudflare chief technology officer john graham-cumming said the problem had been fixed quickly and most of the exposed data removed from the caches of search engines like alphabet's google.

  internet security firm cloudflare has suffered a bug that saw hundreds of thousands of webpages leaking personal data such as passwords and personal messages.

 the data leak was attributable to a bug in the firm's software that had been sending chunks of unrelated data to users' browsers when they visited a webpage hosted by cloudflare, according to google researchers.";
6208;cloudflare;as crikey reported a fortnight ago, the us department of justice issued a subpoena to network services provider cloudflare demanding information on researchers, activists and online journalists who formed part of project pm, a collaborative international project aimed at using publicly available information to examine the burgeoning cybersecurity industry and its links with the us government. the subpoena was issued as part of the prosecution of writer (and sometime crikey contributor) barrett brown for crimesincluding sharing links.;
7136;vudu;"current clients of spotx's platform include broadcasters and publishers, such as thomson reuters, meredith local media group, vevo, gutefrage, tvplayer, stv, rtl nederland and conde nast; app developers, like gameloft and cheetah mobile; ott providers, such as sling tv, vudu and pluto tv; and ctv software providers, like anypoint media, maz digital and zype.";
7272;vudu;"tivo has announced the launch of vudu, walmart's subscription-free, video-on-demand movie service to tivo devices. the vudu application enables users to rent or purchase new release movies and tv shows, as well as access a fully customised ultraviolet cloud library. tivo users can expect the vudu application to appear on their tivo roamio and tivo mini devices during a rolling update over the next few weeks.

  vudu's recently expanded catalogue features newly added tv shows from cbs, comedy central, hbo, mtv, national geographic, nickelodeon and showtime as well as blockbuster movies, hollywood classics and independent films. vudu content purchased via the tivo service is viewable on other vudu-enabled devices or platforms including game consoles, internet-connected blu-ray players and hdtvs, tablets and computers, among other devices. in addition, content purchased on any of these platforms can be viewed through the tivo service. 2014 global data point.";
7853;photobucket;"""however, not every company is chasing a google-sized opportunity. at the time, i cited photobucket selling for $300 million to myspace, which seemed like a huge win for that service.";
7976;photobucket;para::social media can take many different forms, including blogs (blogger, wordpress), social networking sites (facebook, myspace, linkedin), wikis (wikipedia), podcasts (which are like radio or television shows over the internet), photos (flickr, photobucket) and videos (youtube).;
8401;foodpanda;"  with a growing network of stores and rapid consumer acceptance, five star is all set to introduce a wide range of vegetarian products in the market. ""with 50% of indian population being vegetarians and as a brand, we do not  want to miss out the opportunity to reach out to half the population. though 40% of its product line is veg offering people perception is that it is only a chicken brand. adapting to the local taste, flavour and developing products that appeals to masses has been one of the key strengths of the brand. the company has its own state-of-the-art infrastructure for storage and distribution and exercising complete control over the quality from 'farm to fork' to ensure consistent quality and food safety,"" stated rijoy prabhakar, assistant vp, cp foods.  ""while, we have a new name, we are still the same brand built upon the vision of offering great quality and delicious range of products at affordable prices to consumers. the name change is in line with the brand plans to capture the vegetarian segment of the market and give them a taste of our offerings. moreover, we would also like to retain and reinforce our global brand name - five star, in the indian market,"" he added.  ""india is one of the top five priority markets for five star globally. we place significant importance on research and development to meet our customers and consumer's needs as well as improve production efficiency at every step of operations which ultimately benefits our business partners,"" said sanjeev pant, senior vp, cp foods.  in india, five star launched its first outlet in november 2012 in bangalore. with a production and processing facility at budigere near bengaluru and chittoor in ap, the brand has grown to 350+  outlets across bengaluru, chennai, kochi, goa, hyderabad, mumbai and pune. the brand has tied up with irctc for bangalore, chennai and kerala markets and with key delivery website swiggy, zomato, foodpanda, road runner and ola.  the brand offers a wide range of chicken and vegetarian products in spicy indian flavours as well as other asian and thai flavours. it also undertakes catering for birthday, home parties and corporate events through five star catering. it plans to launch 150 stores by the end of 2016 expanding through the franchise route while entering tier-ii and iii towns and in the existing cities.";
8516;foodpanda;fund talk may be a sore point with foodpanda co-founder rohit chadda right now, given the recent allegations of mismanagement being ascribed to his tenure at the startup. but a few days before the controversy, chadda was at an event where he answered a money question : how much does he carry in his wallet? by his own admission, made du ri ng a pa nel discussion at last week's india retail forum, not more than '100-150 at any point.;
8916;corevalve;"upon reviewing the corevalve trial's results for high risk patients, the fda determined it has sufficient information to evaluate the safety and efficacy of the medtronic corevalve system for this patient group without the need for an external expert panel. as such medtronic anticipates fda approval of the corevalve system for high risk patients sometime this summer.

 as written in the district court order, medtronic and edwards lifesciences have entered into discussions in an effort to agree on a mechanism that will enable physicians at facilities currently trained on corevalve 'to make clinical, patient-by-patient determinations as to whether to implant [corevalve or the edwards device] without being constrained by the number of corevalve...available.' on may 21, medtronic and edwards are to report the status of these discussions to the district court, but if an agreement is reached before that time, it may be implemented.

 patient and physician support during this uncertain time, medtronic's greatest concern is to support patients and physicians.  patients and physicians in the u.s. who have questions about corevalve system may contact the medtronic lifeline at 1-877-526-7890. medtronic will actively work with them to ensure, to the greatest possible extent under the terms of the injunction, that patients' needs for the corevalve system can be met under these dire and unusual circumstances.

 minneapolis - april 21, 2014 - medtronic, inc. (nyse: mdt) today issued an updated statement on the recent ruling by federal district court of delaware. the ruling granted in part edwards lifesciences' motion for a preliminary injunction that prevents medtronic from selling or offering to sell its corevalve® system in the united states, except through a mechanism that medtronic is pursuing with edwards lifesciences that would allow currently trained sites to treat patients with corevalve based on a physician's medical judgment. the injunction will go into effect on april 23.

 medtronic will diligently work toward developing mechanism that will allow physicians to use their medical judgment to determine clinical use of corevalve under the injunction.

 the statutes and case law in this area clearly establish that a patent term extension does not apply to all claims of the expired patent. first, an extended patent only applies to the product upon which the extension was based, sapien, and corevalve is not a copy of sapien, or even based on a similar design or concept. therefore, the patent is not enforceable against corevalve during this extension period. second, during the extended term of a patent on a medical device, the only claims that are enforceable are those that apply to the specific u.s. food and drug administration (""fda"") evaluated product and its approved indications for use available to customers at the time of patent expiration. at the time of the may 2012 patent extension, sapien was approved by the fda for transfemoral procedures for patients with annulus sizes between 18mm and 25 mm inclusively, and who were determined to be inoperable for open aortic valve replacement.

 last month, data presented at the american college of cardiology (acc) annual meeting and simultaneously published in the new england journal of medicine showed that patient results with corevalve system were superior to surgical aortic valve replacement (savr) at one year in patients at increased risk for surgery. this is the first time a prospective, randomized study has shown any transcatheter aortic valve to be superior to surgery.

 about corevalve the corevalve system received approval from the fda in january. based on the strength of the clinical data, the fda quickly reviewed and approved the corevalve system for patients at extreme risk for surgical valve replacement in january. the corevalve system is not yet approved in the u.s. for other patient groups.

 the courts' rulings have no impact on the sale or marketing of corevalve outside of the united states or the use of corevalve in the current u.s. clinical trials.";
9191;channeladvisor;" ""revenue in the third quarter was at the top end of our guidance range,"" said david spitz, ceo of channeladvisor. ""this revenue, combined with our careful expense management, produced adjusted ebitda that was above the high end of our guidance. our long-term trend of increasing average revenue per customer continued in the third quarter, reflecting both the value we bring to customers, as well as our focus on larger deals. in addition, we are encouraged by growing interest from brands and manufacturers looking to partner with us for their marketplace strategies. we were also pleased to see our international revenue increase 16% year over year for the quarter. offsetting our overall performance in the quarter was a slower than expected recovery in digital marketing, as well as a sales reorganization in north america that impacted execution in the quarter. as a result of these factors, we are now moderating our revenue and adjusted ebitda expectations for full year 2017, but we remain confident in our ability to drive faster growth next year, as these changes in the north america sales organization are designed to replicate the strong results we have seen internationally following similar organizational changes earlier in the year. with these changes and continued investments in our technology leadership, we are confident we are now even better positioned to make improving progress toward our long-term financial targets."" third quarter 2017 financial results  total revenue of $30.1 million for the third quarter of 2017 increased 8 percent compared with total revenue of $28.0 million for the third quarter of 2016.  gaap net loss was $(4.1) million compared with gaap net loss of $(2.6) million in the third quarter of 2016. gaap net loss per share was $(0.15), based on 26.4 million weighted average shares outstanding, compared with a gaap net loss per share of $(0.10) in the year-ago period, based on 25.7 million weighted average shares then outstanding. non-gaap net loss, which excludes the impact of non-cash stock-based compensation, was $(1.2) million for the third quarter of 2017 compared with non-gaap net income of $0.3 million for the third quarter of 2016.  adjusted ebitda, a non-gaap measure, was $0.4 million for the third quarter of 2017 compared with $2.2 million for the third quarter of 2016. adjusted ebitda excludes depreciation, amortization, income tax expense (benefit), interest, and stock-based compensation expense.  cash and cash equivalents at quarter-end totaled $54.2 million, compared with $57.9 million at the end of the second quarter of 2017.

 channeladvisor corporation (nyse:ecom), a leading provider of cloud-based e-commerce solutions that enable retailers and branded manufacturers to increase global sales, today announced its financial results for the quarter ended september 30, 2017.";
9313;channeladvisor;by adding the 1 edi source solution and partnering channeladvisor, sp express will be able to offer clients with complete and seamless data integration with suppliers and large retailers as well as many of the rapidly expanding ecommerce marketplaces.;
9852;smartthings;"google's smart speaker looks more striking than amazon's echo and does many of the same things as soon as you've caught its attention by saying ""okay, google"". if you've used google's voice recognition on its phone app you'll know it's pretty accurate. it'll play music from services like spotify, as the echo does. it can also set alarms, timers, add items to a shopping list, tell you the time your commute will take today and so on. and of course it can set the temperature on your nest thermostat, belkin, honeywell, samsung smartthings and so on. it works with your smartphone, apple and android, which is where you set up new accessories to work with it.";
10180;smartthings;" physical graph corporation corporation (virginia), has been granted trademark (4621914) titled as ""smartthings"" from the united states patent and trademark office.";
10223;smartthings;"david eun, head of the open innovation center, commented that samsung had always found connected devices strategically important. samsung would maintain and further develop smartthing's platform, he added. country: usa sector: computer software, it/online services target: smartthings buyer: samsung electronics co ltd type: corporate acquisition status: agreed

 smartthings specialises in design and development of devices and mobile apps that help consumers control and monitor their homes remotely. its open platform supports over 1,000 devices and 8,000 apps created by its team.

  15 august 2014 - south korean technology company samsung electronics co ltd (krx:005930) announced today it had signed an agreement to buy us-based smart technologies provider smartthings, without disclosing details on the transaction.";
10372;thingworx;"the centerpiece of ptcs iot technology portfolio, thingworx includes a rapid application development platform, connectivity, machine learning capabilities, augmented reality, and integration with leading device clouds. these features combine to deliver a comprehensive iot technology stack that enables companies to securely connect assets, quickly create applications, and innovate new ways to capture value.

 the retail industry can benefit immensely from the capabilities enabled by thingworx, said eric symon, general manager, retail business unit, ptc. our collaboration with nexgen is a terrific example of how thingworx can help companies in the retail industry improve their operations, develop more efficient processes, and improve the customer service experience. 2016 global data point.

 thingworx will serve as the platform on which nexgen will build its cloud-based solutions for raf markets targeted at transforming the ordering, manufacturing and delivery of brand id offerings and other product components. nexgens solutions will rely on ptcs open cloud architecture, which will enable nexgen to optimize the development and delivery of its products and services.

 nexgen is working with ptc to provide design and delivery solutions for customers in the raf markets and is excited to extend that strategic relationship with ptc around the thingworx platform.";
10641;talend;hevo data, which will use its seed round to hire more engineers and expand in the united states, competes with other data integration companies like informatica, pentaho and talend. jethani says hevo datas advantage is that it is cloud-native and therefore better equipped to handle real-time data.;
10953;mesocoat;· mesocoat inc., euclid, ohio, plans to spend $3.9 million to develop a coating technology using a high-intensity infrared light to fuse and bond nanocomposite metal coatings and claddings to large steel structures such as bridges, oil rigs and pipelines, again to stop corrosion. such coatings would replace those that, due to degradation over time, have to be stripped with toxic substances that are now largely phased out by environmental regulation. the resultant coating could replace electroplating, chromate primers, hot-dip galvanizing and fusion-bonded epoxy coatings.;
10976;tripit;this is the latest in concur's strategy of developing, acquiring or investing in consumer apps. it follows the company's acquisition of tripit, development of expenseit and investment in cleartrip.;
11323;venmo;"  the beta is available for us customers only with ios devices on 11.2 or later and with two-factor authentication set up on their apple id.  the source of funding is any debit or credit card you have currently added to apple pay. apple will charge no fees for money that is funded via debit cards and an 'industry standard' fee for credit cards, likely in the few percent.  the first time someone sends you money, you will opt in to accept it and be issued a new virtual apple pay cash card. this card can only be used to send money or pay for things via apple pay, so it's not a completely discrete ""credit/cash card"", but it functions as one as long as you're within apple pay. the reason for the card is multi-faceted, but one big one is that this allows apple to fund payments to the card immediately. this means that when you get paid via apple cash, you're going to be able to spend that money right away as long as it's via apple cash to someone else or via apple pay at a retailer or website that accepts it.  apple is working with green dot to power the financial mechanics of apple cash. there's obviously some small float involved here on instant transactions.  the card also functions as a transaction log for all of your apple pay purchases on the web or at physical locations. just tap on the 'i' icon to flip the card in wallet to see them. you can also add money to the card from this screen from any funding source. touch id, passcode or face id are used to verify any apple pay cash transaction.  when you get money for the first time, you'll tap on the payment bubble to accept terms, the card will get generated and put into your wallet and the balance will instantly appear on that card. from there you can use it or transfer it out to your bank (with the normal transaction times).  this isn't a card that anyone can just 'use' like a credit or debit card though. if, for instance, you're splitting rent and your roommate pays you for their half you have the following options:  if your landlord uses an iphone and will accept it you can send that on directly to them via messages     you can transfer it to your bank account and pay them via check or debit  otherwise, they'd have to be an apple pay merchant for you to just boop your phone and pay them on a terminal or via the web.  i'd be remiss if i didn't mention that there are already several very widely used person-to-person payment systems out there like square's cash, venmo, alipay and wechat pay. apple is certainly doing a job of 'validating their space' with this launch, but i'd expect some press from those firms with a variety of vanity metrics and differentiating factors like ""cross platform,"" ""social"" and ""popular with youths"". i personally really like square's cash a ton and my close group has long used it to pay each other back and balance our friendship books. it will be interesting to see how apple pay cash affects that behavior among people who have mixed iphone/android usage.  sending and receiving works pretty much as you'd expect. if you ask for money in a text, say 'hey you owe me $10 for movie tickets', the other party can tap on the underlined dollar amount and send it. you can also use the pay cash app in messages to send a formal request, they'll see that and can tap to pay. when they send it you'll get a notification and you tap on that to accept the money. you can choose to automatically accept payments or not in settings. the first time you use it you'll have to accept the money within 7 days.  you can also send money directly from the contacts app in ios by tapping a contact and then the $ icon below their name. siri, of course, is also involved and you can use it to send money or request money from a friend. saying ""ask sally to pay me $10 for breakfast"" will send that message via messages and they can tap and pay.  apple pay cash provides the vital person-to-person leg of apple's payments stool. the journey began back in 2012 when it introduced passbook, a place to hold airplane tickets and other coupon-type stuff. even back then, it was clear where apple was headed with this. i remember writing extensively about the way apple was building up to offering a payments platform:  say apple hooks up an ipayment card of some sort to your itunes account and tucks it into passbook. perhaps you enter a passcode to get into passbook, then type in your apple id and it generates a 2d code, then you scan it, and the code expires after a billing has been made to it. or the url can require a passcode, generating a new link for each transaction...unless, and this comes back to trust, apple required a direct connection to your bank account to enable your apple id for direct payments. this would be a hard sell, but it would be making that pitch to people who have already trusted credit cards to it for some time, so it's not as outlandish as you think.  back then, we were still in a big trust deficit hole with mobile payments (and qr codes are still finding their place) but the years since have proven that people are willing to pay with their phone. an impressive recent stat notes that 50% of all us retail locations now accept apple pay and that 90% of all mobile contactless transactions in markets where it is available are done with apple pay. clearly, people get that money and mobile go together, and they're becoming more willing to treat a digital wallet like their physical wallet.  as i put it in 2012:  the fact of the matter is that people, by and large, are not ready for mobile payments. i'm probably not even ready and i'm an early adopter. this is why other technologies like nfc haven't taken off for google or other mobile makers that have tried to make it happen.  there is a trust threshold that hasn't yet been breached by any major company, although services like square are making headway. apple is uniquely positioned to take its current cachet with regards to credit cards and build on that through the redemption of passes and gift cards through passbook. once it has this kind of trust, it can use nfc hardware in a future phone to further expand its payment options.  now that we're here, you owe me $10.";
11847;sphero;"""the sphero range of toys, including the ollie, will be big this year, but it's always hard to judge because every year it's different,"" he said.";
12039;viagogo;"""will those ticket buyers now be contacted and informed that they might not actually get into the show? ""these questions remain unanswered. and then there's viagogo, who continue to flout uk consumer law. they are still listing 70-odd tickets for metallica's sse hydro show, with no indication to buyers of the restrictive t&cs.";
12123;viagogo;"consumer group choice has lodged a complaint with the australian competition and consumer commission, calling out websites viagogo and ticketmaster resale for facilitating fraudulent and dodgy ticket sales.

 ""they are making seriously dishonest claims by saying they're the official site or that they have the cheapest tickets available. they're questionable at best."" last week midnight oil fans were angered when tickets sold out on ticketmaster's main site in minutes, only to appear soon afterwards on the resale site at hugely inflated prices. it is understood ticketmaster gets a 21 per cent commission for any resale tickets sold and viagogo takes about 28 per cent.

 the choice investigation comes after news corp reported viagogo was charging footy fans an additional $50 to cover booking, handling and international transfer fees.choice said concertgoers should never assume the first google result is the official ticketing page.";
12655;lanzatech; auckland: following is the profile of shaun edlin advisor of snowball effect: shaun has spent most of his professional life working on the commercialisation of technology, first at the intellectual property office of new zealand, and subsequently at renowned biofuels company, lanzatech. shaun is passionate about driving funding into nz innovation and technology, especially in the medical, biotech, ict, and cleantech sectors.;
12685;lanzatech;a few companies continue to look at bio-based routes for example - genomatica in partnership with versalis and braskem and lanzatech partnered with invista. cobalt technologies announced partnership agreements with two undisclosed asian companies. tyre manufacturers are also investigating the biomass route such as michelin's is collaboration with axens and tereos;
12892;lanzatech;tindall has an interest in clean-tech company lanzatech which aims to turn industrial waste gases into biofuels, and air new zealand is anxious to find viable alternative jet fuels.;
